"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
126836,99,0,7,8,0,0,0,0,0
127217,99,0,8,1,0,0,0,0,20
127495,99,0,0,12,0,0,1,0,0
128786,99,0,0,2,0,0,0,0,2
129413,99,0,19,0,0,0,0,0,0
133003,99,0,4,11,0,0,0,0,0
133073,99,1,7,0,0,0,0,0,0
133519,99,0,18,2,0,0,0,0,0
138574,99,0,4,30,0,2,0,0,0
146086,99,11,6,3,0,0,0,0,0
146100,99,5,15,4,0,0,0,0,0
146425,99,0,30,0,0,0,0,0,0
147034,99,0,13,0,0,0,0,0,0
149070,99,0,8,0,1,0,0,0,0
112925,98,0,5,0,0,0,0,0,0
113870,98,0,0,0,0,0,0,0,0
115298,98,0,42,0,0,0,0,0,0
117235,98,0,11,0,0,0,0,0,0
117405,98,1,0,0,0,0,9,0,13
117457,98,0,7,8,0,3,0,0,0
117887,98,0,35,0,1,0,0,0,0
118059,98,1,12,6,0,2,7,0,0
119889,98,1,7,1,0,1,0,0,0
120991,98,0,7,0,0,1,0,0,0
122345,98,0,7,14,0,0,0,0,0
123316,98,0,3,2,3,0,0,0,0
124356,98,0,12,0,0,0,0,0,0
124661,98,0,0,0,0,0,0,0,0
124772,98,0,3,2,0,0,0,0,20
125477,98,0,8,0,0,1,0,0,0
125542,98,11,2,32,0,6,7,0,0
125547,98,0,3,0,0,17,0,0,25
125848,98,0,4,5,3,0,0,0,9
126687,98,1,4,0,0,0,0,0,0
128362,98,0,1,1,1,12,0,0,0
133008,98,0,3,0,0,0,0,0,0
133219,98,0,0,0,0,1,0,0,0
133281,98,0,11,0,0,0,0,0,0
134899,98,0,0,2,0,0,0,0,0
135222,98,0,22,0,0,0,0,0,6
136196,98,0,4,0,0,0,0,0,0
139764,98,0,0,0,0,3,5,0,0
140729,98,0,7,0,1,0,1,0,0
143518,98,0,8,0,0,0,0,0,0
144612,98,0,10,25,0,0,0,0,0
148908,98,0,0,0,0,0,2,0,0
149001,98,0,14,5,0,0,0,0,0
149589,98,0,0,0,0,0,0,0,0
149614,98,0,18,3,0,0,0,0,0
149923,98,0,0,18,0,0,0,0,0
112998,97,0,0,2,0,3,1,0,0
113601,97,0,11,0,0,0,2,0,0
114772,97,0,30,0,0,1,0,0,0
114795,97,0,10,0,0,0,34,0,0
115743,97,0,16,16,0,0,0,0,0
115789,97,0,15,0,0,0,0,0,0
118029,97,0,0,35,0,0,0,0,0
118066,97,0,0,6,0,0,1,0,0
118082,97,0,20,0,0,0,0,0,0
119148,97,0,15,0,0,0,0,0,0
119910,97,0,16,12,0,0,0,0,0
120386,97,0,50,0,0,0,0,0,0
120659,97,0,32,12,0,0,0,0,0
120684,97,29,6,11,0,0,0,0,3
121590,97,0,8,0,0,0,0,0,0
121937,97,0,56,0,0,0,0,0,0
122694,97,0,25,10,0,1,6,0,0
122780,97,0,0,0,0,0,0,0,2
123290,97,0,28,0,0,0,1,0,0
125337,97,0,0,0,0,0,0,0,0
125377,97,0,0,10,0,0,0,0,0
125387,97,0,4,17,0,0,0,0,0
125961,97,0,0,4,0,3,0,0,0
126171,97,0,0,0,0,0,0,0,0
126532,97,0,13,21,0,0,0,0,0
127077,97,0,14,0,0,0,6,0,0
127417,97,0,12,19,0,0,0,0,0
127891,97,0,17,1,0,1,0,0,0
129480,97,0,15,30,0,0,0,0,0
133231,97,0,12,0,0,0,0,0,0
133448,97,0,14,0,0,0,0,0,0
135414,97,0,20,0,0,0,0,0,0
135616,97,0,1,0,0,0,0,0,0
135893,97,0,3,2,0,0,0,0,0
140379,97,0,0,22,0,2,0,0,0
142558,97,0,3,4,0,0,0,0,0
145641,97,0,14,0,0,0,0,0,4
146947,97,10,7,0,0,0,0,0,0
147001,97,0,18,0,0,0,0,0,0
112319,96,0,0,0,0,0,9,0,0
112735,96,0,3,12,0,0,0,15,0
113921,96,0,39,0,0,0,0,0,0
115565,96,0,1,17,0,1,0,0,0
117799,96,0,11,4,0,0,0,0,0
117913,96,1,37,19,0,0,1,0,0
117940,96,0,4,0,0,0,0,0,0
118521,96,0,0,7,0,1,0,0,0
118872,96,0,8,0,0,0,0,0,0
118896,96,0,4,4,0,0,2,0,0
120482,96,0,0,0,0,0,0,0,0
122244,96,0,0,0,0,0,0,0,0
